0,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,29,,,30,31,32,,33,,34,,35,,36,,37,,38,,39,,40,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60
12,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,12,,,12,12,12,,12,,12,,12,,12,,12,,12,,12,,12,12,,12,,12,,12,,12,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88
27,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,15,,88,,88,,88,,88,,88,,88,,88,,88,,27,,27,,27,,27,,27,,27,,27,27,,,27,27,27,,27,,27,,27,,27,,27,,27,,27,,27,27,,27,,27,,27,,27,,12,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
28,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,9,,27,,27,,27,,27,,27,,27,,27,,27,,27,,88,,88,,88,,88,,88,,88,,88,88,,,88,88,88,,88,,88,,88,,88,,88,,88,,88,,88,88,,88,,9,,9,,9,,2,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28
88,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,9,,15,,9,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,88,,88,,28,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15
10,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,15,,88,,88,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,9,,9,,7,7,,,7,7,7,,28,,28,,28,,28,,28,,28,,28,,28,28,,28,,88,,2,,2,,9,,7,,7,,31,,31,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18
9,31,,31,,31,,31,,31,,31,,31,,31,,31,,15,,4,,2,,2,,15,,10,,10,,10,,10,,7,,7,,7,,7,,31,,31,,15,,4,,7,,28,28,,,28,28,28,,7,,7,,7,,7,,9,,9,,9,,9,9,,9,,28,,28,,28,,15,,31,,31,,18,,18,,31,,31,,31,,31,,31,,31,,31,,31,,98,,98
2,2,,2,,2,,2,,2,,2,,2,,2,,10,,4,,28,,32,,28,,10,,7,,7,,7,,7,,10,,5,,5,,5,,5,,19,,19,,28,,28,,5,31,,,31,31,31,,31,,31,,31,,9,,7,,7,,7,,7,7,,15,,4,,4,,15,,7,,18,,18,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,31,,30
31,10,,10,,10,,10,,10,,10,,10,,10,,19,,10,,32,,60,,10,,7,,5,,5,,5,,5,,5,,10,,31,,31,,19,,15,,9,,7,,5,,31,5,,,5,5,10,,9,,9,,9,,31,,31,,31,,15,,15,15,,4,,15,,15,,7,,31,,98,,98,,20,,20,,30,,30,,30,,30,,30,,30,,30,,30,,30,,31
26,19,,19,,19,,19,,19,,19,,19,,19,,15,,32,,60,,4,,32,,5,,19,,31,,31,,31,,31,,31,,10,,19,,15,,9,,18,,15,,31,,10,10,,,10,10,5,,15,,15,,15,,15,,15,,15,,31,,31,5,,18,,7,,7,,22,,18,,20,,20,,30,,30,,20,,60,,60,,60,,60,,60,,60,,60,,60,,27
15,15,,15,,15,,15,,15,,15,,15,,15,,4,,60,,2,,28,,60,,19,,31,,19,,19,,19,,19,,19,,19,,15,,21,,18,,4,,5,,10,,15,15,,,15,15,9,,5,,5,,5,,5,,5,,5,,5,,5,21,,20,,22,,22,,5,,98,,30,,30,,60,,60,,60,,20,,20,,20,,27,,27,,27,,27,,27,,60
19,4,,4,,4,,4,,4,,4,,4,,4,,2,,31,,7,,7,,7,,31,,15,,15,,15,,15,,15,,15,,15,,21,,9,,4,,59,,31,,4,,9,9,,,9,9,15,,10,,10,,10,,10,,10,,10,,10,,10,4,,19,,5,,5,,31,,20,,60,,60,,21,,21,,21,,21,,21,,21,,20,,21,,21,,21,,21,,21
4,5,,5,,5,,5,,5,,5,,18,,20,,32,,19,,10,,10,,5,,21,,21,,21,,21,,21,,21,,21,,21,,9,,18,,20,,31,,10,,15,,21,21,,,21,21,21,,21,,21,,21,,21,,21,,21,,21,,30,98,,7,,31,,98,,18,,30,,21,,21,,14,,14,,14,,14,,14,,27,,21,,14,,14,,14,,14,,14
59,30,,30,,30,,30,,30,,30,,20,,59,,60,,2,,5,,5,,31,,9,,9,,9,,9,,9,,9,,9,,9,,18,,4,,59,,7,,18,,21,,22,22,,,22,22,22,,22,,22,,22,,30,,30,,30,,30,,21,18,,5,,18,,31,,98,,60,,14,,14,,27,,27,,9,,9,,27,,14,,14,,20,,9,,9,,9,,9
30,7,,7,,7,,7,,7,,18,,59,,32,,14,,7,,31,,31,,19,,30,,30,,30,,30,,30,,30,,30,,30,,4,,20,,5,,5,,19,,22,,30,30,,,30,30,30,,30,,30,,30,,4,,4,,4,,4,,4,10,,22,,98,,18,,20,,21,,27,,27,,9,,9,,27,,27,,9,,9,,9,,9,,20,,20,,20,,20
5,18,,18,,18,,18,,18,,21,,32,,60,,7,,5,,19,,19,,30,,4,,18,,18,,18,,18,,18,,18,,18,,20,,59,,98,,10,,21,,30,,4,4,,,4,4,4,,4,,4,,4,,18,,18,,18,,18,,98,20,,10,,20,,20,,30,,14,,9,,9,,22,,22,,5,,5,,5,,5,,5,,5,,5,,5,,5,,7
7,59,,59,,21,,21,,21,,20,,98,,14,,5,,30,,30,,30,,21,,18,,4,,4,,4,,4,,4,,4,,4,,59,,7,,7,,20,,30,,18,,18,18,,,18,18,18,,18,,18,,18,,20,,98,,98,,98,,18,19,,31,,30,,30,,4,,27,,22,,22,,5,,5,,32,,32,,32,,32,,7,,7,,7,,7,,7,,5
18,21,,21,,59,,20,,20,,59,,60,,18,,20,,21,,21,,21,,4,,22,,22,,22,,22,,22,,22,,20,,20,,10,,98,,21,,14,,22,,20,,20,20,,,20,20,20,,20,,20,,20,,98,,20,,20,,20,,20,60,,98,,60,,60,,60,,22,,4,,5,,32,,32,,4,,4,,4,,7,,4,,4,,4,,4,,4,,4
20,98,,20,,20,,59,,59,,22,,14,,7,,30,,18,,18,,18,,18,,20,,20,,20,,20,,20,,20,,59,,59,,98,,14,,10,,21,,20,,19,,19,19,,,19,19,19,,98,,98,,98,,19,,19,,19,,19,,19,31,,60,,21,,21,,21,,4,,5,,32,,4,,4,,7,,7,,7,,4,,32,,32,,32,,32,,32,,32
21,20,,98,,98,,98,,22,,98,,5,,5,,21,,22,,22,,22,,22,,59,,59,,59,,59,,59,,59,,98,,98,,30,,60,,14,,30,,98,,98,,98,98,,,98,98,98,,19,,19,,19,,60,,60,,60,,60,,60,14,,21,,14,,14,,14,,5,,32,,4,,7,,7,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22
98,22,,22,,22,,22,,98,,32,,30,,30,,59,,20,,20,,20,,20,,98,,98,,98,,98,,98,,98,,14,,14,,14,,10,,30,,22,,32,,32,,60,60,,,60,60,60,,60,,60,,60,,22,,14,,14,,14,,14,22,,14,,19,,19,,19,,32,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19
32,32,,32,,32,,32,,32,,60,,21,,21,,18,,14,,98,,98,,98,,14,,14,,14,,14,,14,,14,,22,,60,,60,,30,,22,,98,,14,,60,,32,14,,,14,14,14,,14,,14,,14,,14,,22,,22,,22,,22,30,,30,,32,,32,,32,,19,,26,,26,,26,,26,,59,,59,,59,,59,,59,,59,,59,,59,,59,,
22,14,,14,,60,,60,,60,,14,,7,,98,,22,,98,,59,,59,,59,,60,,60,,60,,60,,60,,60,,60,,22,,22,,22,,32,,32,,60,,14,,14,32,,,32,32,32,,32,,32,,32,,32,,32,,32,,32,,32,32,,32,,26,,26,,26,,26,,59,,59,,59,,59,,26,,26,,26,,26,,26,,26,,26,,26,,,,
60,60,,60,,14,,14,,14,,7,,22,,22,,98,,59,,14,,14,,14,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,60,,60,,26,,26,,26,26,,,26,26,26,,26,,26,,26,,26,,26,,26,,26,,26,26,,26,,59,,59,,59,,59,,10,,10,,10,,10,,10,,10,,10,,10,,10,,,,,,,,,,
14,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,59,,59,,59,59,,,59,59,59,,59,,59,,59,,59,,59,,59,,59,,59,59,,59,,10,,10,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
