0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,15,15,15,15,15,18,18,60,60,60,9,9,9,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,10,10,10,9,3,3,3,3,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
27,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,8,60,30,30,9,10,10,10,7,5,5,5,5,5,5,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,27,27,9,7,22,22,22,22,22,10,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
9,7,7,7,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,8,8,8,8,8,60,30,2,2,10,27,27,27,12,3,3,3,3,3,3,3,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,27,27,9,9,26,12,5,5,5,8,8,27,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,60,60,60,60,60,60,30,2,9,9,27,20,20,26,15,22,22,22,22,22,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,26,26,7,3,8,8,8,14,14,3,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
15,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,30,30,30,30,30,30,2,9,10,10,20,26,26,7,5,18,18,18,18,18,18,18,2,2,2,2,2,2,9,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,9,9,7,7,12,22,14,14,14,10,10,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,59,59,59,59,60,60,60,77,2,2,2,2,2,9,10,27,27,26,7,7,12,3,8,8,8,8,8,8,8,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,30,20,12,3,5,48,10,10,27,27,60,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,26,26,26,26,26,26,26,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,30,30,30,2,9,9,9,9,9,10,27,20,20,7,12,12,15,22,10,14,14,14,14,14,14,27,27,27,27,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,12,3,22,8,12,27,27,9,9,2,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
18,27,27,27,27,27,27,27,22,22,22,22,22,22,22,22,22,22,22,22,22,60,30,30,30,30,4,77,77,9,10,10,10,10,10,27,20,26,26,12,45,45,5,18,14,60,60,60,60,60,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7,7,3,22,5,14,9,9,9,60,60,22,3,3,3,3,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
45,8,8,8,8,8,8,8,21,21,21,21,21,21,21,21,21,21,21,21,60,30,28,4,4,4,77,2,2,10,27,27,27,27,27,15,26,7,7,45,60,15,3,8,12,28,28,28,28,28,10,7,7,7,7,7,7,7,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,20,20,22,5,45,59,10,60,60,2,2,7,26,26,26,26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,14,14,14,14,14,14,14,60,60,60,60,60,60,60,60,60,60,60,60,30,28,4,77,77,77,2,9,9,27,20,20,20,20,20,20,7,12,12,2,15,5,22,9,60,10,10,10,10,10,2,5,26,26,26,26,26,26,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,5,45,8,48,27,2,2,15,15,26,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
59,3,3,3,3,3,3,3,77,77,77,77,30,30,30,30,30,30,30,30,28,4,77,2,2,2,9,10,10,5,26,26,26,26,26,26,12,45,45,15,5,3,18,14,28,2,2,2,2,2,9,26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,3,45,21,14,26,7,15,15,5,7,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
14,59,59,59,59,59,59,59,30,30,30,30,77,4,4,4,28,28,28,28,4,77,2,9,9,9,10,27,27,20,7,7,7,7,7,7,45,18,15,5,3,22,8,26,2,9,9,9,9,9,4,22,12,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,22,21,8,59,10,60,7,7,7,26,18,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
29,20,20,20,20,20,20,20,4,4,4,4,4,77,28,28,4,4,4,4,77,2,9,10,10,10,27,20,20,26,12,12,12,12,12,12,8,15,5,3,22,18,14,60,9,59,59,59,59,59,27,3,45,12,12,12,12,12,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,8,14,48,27,2,26,26,26,18,14,12,12,12,12,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,22,22,22,22,22,22,22,28,28,28,28,28,28,77,77,77,77,77,77,2,9,10,27,27,27,20,26,26,7,45,45,45,45,45,45,15,5,3,22,18,60,60,28,59,4,4,4,4,4,30,20,5,45,3,3,3,3,3,5,5,22,22,22,22,22,22,22,22,22,22,22,22,22,45,45,14,28,27,60,15,18,18,18,30,30,5,5,5,5,12,12,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,21,21,21,21,21,21,21,48,48,48,48,2,2,2,2,2,2,2,2,9,10,27,20,20,20,26,7,7,12,5,5,5,5,5,5,5,3,22,18,8,8,21,27,4,27,27,27,27,27,7,12,3,3,22,22,22,22,22,22,22,5,5,5,5,5,5,5,5,5,5,5,5,5,21,21,28,59,60,15,26,12,30,30,12,12,45,45,45,45,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,28,28,28,28
20,60,60,60,60,60,60,60,10,2,2,2,48,9,9,9,9,9,9,9,10,27,20,26,26,26,7,12,12,45,3,3,3,3,3,3,3,22,18,8,14,14,28,2,27,30,30,30,30,30,26,45,22,22,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,8,8,59,48,15,2,18,30,12,12,5,5,14,14,14,14,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,20,20,20,20
6,30,30,30,30,30,30,77,9,26,10,10,10,48,10,10,10,10,10,10,27,20,26,7,7,7,12,45,45,14,22,22,22,22,22,22,22,8,8,21,21,21,59,59,7,77,77,77,77,77,20,8,21,21,8,8,8,8,8,8,8,21,21,21,21,21,21,21,21,21,21,21,21,21,14,14,2,60,2,18,30,45,45,45,45,45,21,21,21,21,59,59,59,59,59,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21
2,77,77,77,77,77,77,30,7,10,9,9,9,10,48,27,27,27,27,27,20,26,7,12,12,12,45,3,3,3,21,21,21,21,21,21,21,21,21,14,28,28,2,4,30,48,48,48,48,7,12,14,8,8,21,21,21,21,21,21,21,8,8,8,8,8,8,8,8,8,8,8,8,8,28,28,48,15,18,45,59,21,21,21,21,21,28,28,28,28,20,20,20,20,20,59,59,59,59,14,14,14,14,14,14,14,14,14,14,14,14
77,4,4,4,4,4,4,4,27,9,7,7,27,27,27,20,20,20,20,20,26,7,12,45,45,45,59,22,22,22,14,14,14,14,14,14,14,14,14,28,59,59,4,30,77,7,7,7,7,26,45,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,59,59,60,2,21,30,45,28,28,28,28,28,59,59,59,59,48,48,48,48,48,48,48,14,14,59,59,59,59,59,59,59,59,59,59,59,59
60,28,28,28,28,28,28,28,20,12,27,27,7,20,20,26,26,26,26,26,7,12,45,3,3,3,3,21,21,21,59,59,59,59,28,28,28,28,28,30,2,2,20,77,48,26,26,26,26,20,21,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,48,48,15,18,30,21,21,48,59,59,59,59,20,20,20,20,14,14,14,14,14,14,14,48,48,48,48,48,48,48,48,48,48,48,48,48,48
51,48,48,48,48,48,48,48,2,7,20,20,20,7,26,48,7,7,7,7,12,45,3,28,22,22,22,59,59,59,28,28,28,28,59,59,59,59,59,59,4,4,30,48,26,20,20,20,20,12,28,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,15,15,30,30,28,28,28,59,20,20,20,20,48,48,48,48,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
48,2,2,2,2,2,2,2,26,27,26,45,26,26,7,7,48,12,12,12,45,22,22,22,21,21,21,4,28,28,77,4,4,4,4,4,4,4,4,4,30,30,77,20,20,12,12,12,12,45,59,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,18,18,18,20,20,20,20,20,48,48,48,48,22,22,22,22,51,51,51,51,51,51,,,,,,,,,,,,,,,
22,12,12,12,45,45,45,45,45,20,45,26,45,12,12,12,12,48,45,45,21,21,21,21,28,28,28,28,4,4,4,77,77,77,77,77,77,77,77,77,77,77,48,45,45,45,45,45,45,21,48,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,6,6,,,,,,,,,,,,,,,,,,,
4,45,45,45,12,12,12,12,12,45,12,12,12,45,45,45,45,45,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,45,21,21,21,21,21,21,48,51,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,
21,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,6,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
