0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
5,5,5,27,27,51,18,18,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8
27,27,27,51,51,18,12,12,30,30,30,9,12,12,12,12,12,12,12,12,29,29,29,29,29,29,29,29,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,15,45,45,45,12,8,8,8,8,8,8,8,8,8,8,8,8,30,30,21,21,21
51,51,51,18,18,12,22,22,9,9,9,30,30,30,30,30,30,30,29,29,12,45,45,45,45,45,45,45,30,30,30,30,30,30,30,21,21,21,21,21,21,21,21,21,21,21,21,5,22,45,2,12,12,8,21,21,21,21,21,21,21,21,21,21,30,30,21,21,5,5,5
18,18,18,26,12,22,9,30,18,18,18,18,7,7,7,7,7,7,22,22,22,27,27,27,27,27,27,27,22,22,22,22,21,21,21,30,30,30,30,30,30,30,30,30,30,30,5,22,15,2,5,8,8,21,30,30,30,30,30,30,30,30,30,30,21,21,5,5,30,30,30
2,26,26,12,22,9,7,9,22,22,22,7,29,29,29,29,29,29,7,45,45,15,15,15,15,15,15,15,21,21,21,21,18,18,18,18,18,18,18,18,18,18,18,18,18,5,22,21,8,12,12,21,21,30,5,5,5,5,5,5,5,5,5,5,5,5,22,22,15,15,15
26,12,12,2,9,7,30,7,7,7,7,29,22,22,22,22,22,22,8,27,27,5,5,5,5,5,5,5,18,18,18,18,22,22,9,9,9,9,9,9,5,5,5,5,5,22,15,15,45,8,8,2,30,5,22,22,22,22,22,22,22,22,22,22,22,22,18,18,45,45,45
12,2,2,22,14,30,8,8,29,29,29,22,8,8,8,8,8,8,45,15,15,26,26,26,26,26,26,26,15,60,60,60,51,51,22,5,5,5,5,5,9,22,22,22,22,18,3,45,2,21,21,5,5,22,18,18,18,18,18,18,18,18,18,18,18,18,15,15,27,27,27
28,22,22,9,7,8,29,29,8,8,8,8,18,45,45,45,45,45,27,5,5,22,10,10,10,10,10,10,60,51,51,51,9,9,5,22,22,22,22,22,22,9,9,27,27,15,30,2,21,30,30,30,22,18,15,15,15,15,15,15,15,15,15,15,15,15,45,45,9,9,9
22,28,9,14,30,29,45,45,45,45,45,45,45,27,27,27,27,27,15,26,26,10,14,14,14,14,14,14,51,20,20,20,60,60,60,60,60,60,60,60,60,27,27,15,15,3,45,3,30,22,22,22,18,45,51,51,51,51,51,45,45,45,45,45,45,45,27,27,18,18,18
14,9,14,7,8,45,59,59,59,15,15,15,15,18,15,15,15,15,5,10,10,14,7,7,12,12,12,12,26,3,3,3,20,5,15,15,15,15,15,15,15,60,60,3,3,45,2,30,18,18,18,18,51,51,45,45,45,45,45,27,27,27,27,27,27,27,2,2,2,2,2
9,14,7,30,29,59,15,15,15,59,59,59,27,15,5,5,5,5,26,21,21,7,12,12,8,8,8,8,10,9,9,9,3,20,20,3,3,26,26,26,27,15,15,14,45,2,20,18,51,51,51,51,27,27,27,27,27,27,27,2,2,2,2,2,2,2,9,9,22,14,14
21,7,30,8,45,15,51,48,48,48,10,10,10,10,18,26,26,26,10,14,14,21,20,8,30,30,30,30,20,15,15,15,5,3,3,26,26,27,27,27,26,26,26,45,2,20,18,51,3,27,27,27,2,2,2,2,2,2,2,9,9,9,9,9,9,9,14,14,14,22,22
29,21,8,29,59,48,48,10,10,10,5,27,59,5,26,10,10,10,21,7,7,12,22,30,22,22,22,22,3,5,5,5,15,15,26,27,27,3,3,3,3,3,3,2,20,27,51,27,27,3,3,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,20,20,20,20,20
7,8,29,45,26,10,10,4,5,5,27,5,5,26,10,21,21,21,14,8,20,20,8,22,21,21,21,21,9,27,27,27,26,26,27,45,45,45,45,45,45,45,14,20,51,51,27,9,14,14,14,14,14,14,14,14,14,14,14,51,20,20,20,20,20,20,60,60,10,26,26
8,30,20,59,15,27,4,5,27,27,26,26,26,59,21,14,14,14,30,51,8,8,30,20,18,18,18,18,27,45,45,45,27,27,45,14,14,14,14,14,14,14,45,60,14,9,9,14,9,9,9,26,26,20,20,20,20,20,20,20,60,60,60,60,60,60,10,10,60,10,10
30,29,45,15,2,4,5,27,4,26,21,21,21,21,59,59,59,59,59,20,30,30,21,21,60,60,60,60,5,26,26,26,45,45,14,2,2,2,2,2,2,2,2,26,9,14,14,60,60,60,60,20,20,26,26,26,26,26,26,26,10,10,10,10,10,10,26,26,26,60,60
20,20,59,48,48,5,27,26,26,21,14,14,14,14,14,51,51,51,51,30,51,18,18,18,51,51,51,51,45,10,10,10,10,14,2,10,10,10,10,10,10,10,10,4,60,60,60,26,26,26,26,60,60,60,60,60,60,60,60,60,26,26,26,26,26,26,29,29,29,29,29
59,60,15,10,10,14,26,21,21,4,51,51,51,51,51,20,60,20,20,3,3,60,60,60,20,20,20,20,14,14,14,14,14,10,10,4,4,4,4,4,4,20,20,10,26,26,26,20,20,20,20,10,10,10,10,10,10,10,10,10,51,51,51,51,29,29,4,4,4,4,
60,45,48,4,4,26,21,51,51,14,4,20,20,20,20,60,20,3,3,18,18,51,51,51,3,3,3,3,29,29,29,4,4,2,4,20,20,20,20,20,20,4,4,9,10,10,10,10,10,10,10,29,29,29,29,29,29,29,29,29,29,29,29,29,4,4,12,3,,,
15,59,10,5,5,21,14,14,14,51,20,60,60,60,60,3,3,4,18,59,60,3,3,3,4,4,4,4,4,4,4,2,2,4,51,29,29,29,29,29,29,29,29,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,12,,,
45,15,4,20,21,20,20,20,20,20,60,4,3,3,3,4,4,60,60,60,4,4,4,4,2,2,2,2,2,2,2,29,29,29,29,51,51,51,51,51,51,51,51,29,29,29,29,29,29,29,29,3,3,3,3,3,3,3,3,3,3,3,3,3,28,28,,,,,
48,48,21,28,20,60,60,60,60,60,3,3,4,4,4,18,18,18,4,4,2,2,2,2,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,,,,
3,3,60,21,60,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,59,59,59,59,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,,,,,
4,10,3,60,3,2,2,2,2,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,,,,
10,4,28,3,28,28,28,28,28,28,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
